date,symbol,open,high,low,close,adj_close,volume
2025-05-22,NDXCOMP,18888.048000,19061.113000,18840.341000,18925.735000,18925.735000,0
2025-05-23,NDXCOMP,18622.380000,18841.520000,18599.687000,18737.207000,18737.207000,0
2025-05-27,NDXCOMP,19014.436000,19210.945000,18961.688000,19199.163000,19199.163000,0
2025-05-28,NDXCOMP,19232.619000,19276.829000,19084.382000,19100.938000,19100.938000,0
2025-05-29,NDXCOMP,19389.392000,19389.392000,19091.542000,19175.872000,19175.872000,0
2025-05-30,NDXCOMP,19131.219000,19157.782000,18847.744000,19113.767000,19113.767000,0
2025-06-02,NDXCOMP,19063.060000,19252.714000,18985.303000,19242.613000,19242.613000,0
2025-06-03,NDXCOMP,19288.659000,19459.283000,19224.703000,19398.958000,19398.958000,0
2025-06-04,NDXCOMP,19434.940000,19493.451000,19359.089000,19460.489000,19460.489000,0
2025-06-05,NDXCOMP,19518.197000,19610.511000,19226.215000,19298.448000,19298.448000,0
2025-06-06,NDXCOMP,19526.994000,19593.182000,19464.837000,19529.953000,19529.953000,0
2025-06-09,NDXCOMP,19573.138000,19637.557000,19531.102000,19591.237000,19591.237000,0
2025-06-10,NDXCOMP,19620.108000,19730.377000,19539.088000,19714.989000,19714.989000,0
2025-06-11,NDXCOMP,19779.355000,19800.459000,19551.345000,19615.876000,19615.876000,0
2025-06-12,NDXCOMP,19578.874000,19690.607000,19553.560000,19662.485000,19662.485000,0
2025-06-13,NDXCOMP,19450.925000,19591.873000,19367.416000,19406.826000,19406.826000,0
2025-06-16,NDXCOMP,19550.749000,19733.306000,19550.749000,19701.213000,19701.213000,0
2025-06-17,NDXCOMP,19627.082000,19666.562000,19485.444000,19521.091000,19521.091000,0
2025-06-18,NDXCOMP,19526.917000,19660.766000,19489.564000,19546.273000,19546.273000,0
2025-06-20,NDXCOMP,19639.408000,19696.113000,19380.578000,19447.410000,19447.410000,0
2025-06-23,NDXCOMP,19427.007000,19643.697000,19334.983000,19630.975000,19630.975000,0
2025-06-24,NDXCOMP,19809.615000,19946.720000,19795.288000,19912.533000,19912.533000,0
2025-06-25,NDXCOMP,20013.947000,20052.781000,19918.076000,19973.552000,19973.552000,0
2025-06-26,NDXCOMP,20062.187000,20187.150000,19982.479000,20167.913000,20167.913000,0
2025-06-27,NDXCOMP,20217.264000,20311.505000,20095.049000,20273.459000,20273.459000,0
2025-06-30,NDXCOMP,20360.152000,20418.309000,20266.360000,20369.733000,20369.733000,0
2025-07-01,NDXCOMP,20290.611000,20339.046000,20105.415000,20202.889000,20202.889000,0
2025-07-02,NDXCOMP,20184.374000,20397.217000,20181.737000,20393.130000,20393.130000,0
2025-07-03,NDXCOMP,20497.663000,20624.510000,20480.223000,20601.101000,20601.101000,0
2025-07-07,NDXCOMP,20490.550000,20511.819000,20323.016000,20412.515000,20412.515000,0
2025-07-08,NDXCOMP,20466.926000,20480.892000,20377.355000,20418.464000,20418.464000,0
2025-07-09,NDXCOMP,20522.087000,20645.409000,20486.385000,20611.338000,20611.338000,0
2025-07-10,NDXCOMP,20636.477000,20655.390000,20495.141000,20630.665000,20630.665000,0
2025-07-11,NDXCOMP,20562.884000,20647.975000,20509.752000,20585.527000,20585.527000,0
2025-07-14,NDXCOMP,20592.564000,20672.340000,20492.629000,20640.327000,20640.327000,0
2025-07-15,NDXCOMP,20822.760000,20836.038000,20670.578000,20677.800000,20677.800000,0
2025-07-16,NDXCOMP,20717.809000,20751.046000,20507.064000,20730.491000,20730.491000,0
2025-07-17,NDXCOMP,20760.321000,20911.826000,20735.547000,20884.268000,20884.268000,0
2025-07-18,NDXCOMP,20959.569000,20980.558000,20846.116000,20895.655000,20895.655000,0
2025-07-21,NDXCOMP,20960.330000,21077.367000,20957.442000,20974.175000,20974.175000,0
2025-07-22,NDXCOMP,20982.205000,20985.341000,20750.896000,20892.685000,20892.685000,0
2025-07-23,NDXCOMP,20966.467000,21023.852000,20870.668000,21020.017000,21020.017000,0
2025-07-24,NDXCOMP,21083.818000,21113.101000,21001.681000,21057.959000,21057.959000,0
2025-07-25,NDXCOMP,21059.941000,21159.804000,21036.854000,21108.317000,21108.317000,0
2025-07-28,NDXCOMP,21176.401000,21202.180000,21122.117000,21178.584000,21178.584000,0
2025-07-29,NDXCOMP,21286.725000,21303.956000,21081.685000,21098.291000,21098.291000,0
2025-07-30,NDXCOMP,21140.397000,21230.880000,21016.922000,21129.674000,21129.674000,0
2025-07-31,NDXCOMP,21457.480000,21457.480000,21078.673000,21122.448000,21122.448000,0
2025-08-01,NDXCOMP,20830.643000,20865.625000,20560.171000,20650.132000,20650.132000,0
2025-08-04,NDXCOMP,20853.907000,21055.238000,20833.858000,21053.582000,21053.582000,0
2025-08-05,NDXCOMP,21092.097000,21138.716000,20893.290000,20916.550000,20916.550000,0
2025-08-06,NDXCOMP,20955.222000,21183.876000,20937.487000,21169.424000,21169.424000,0
2025-08-07,NDXCOMP,21325.010000,21408.152000,21090.049000,21242.697000,21242.697000,0
2025-08-08,NDXCOMP,21316.366000,21464.526000,21284.974000,21450.022000,21450.022000,0
2025-08-11,NDXCOMP,21459.654000,21549.732000,21346.620000,21385.404000,21385.404000,0
2025-08-12,NDXCOMP,21507.441000,21689.677000,21386.254000,21681.904000,21681.904000,0
2025-08-13,NDXCOMP,21764.548000,21803.748000,21645.142000,21713.140000,21713.140000,0
2025-08-14,NDXCOMP,21649.211000,21766.291000,21627.130000,21710.670000,21710.670000,0
2025-08-15,NDXCOMP,21709.336000,21716.176000,21567.463000,21622.977000,21622.977000,0
2025-08-18,NDXCOMP,21616.820000,21651.499000,21559.330000,21629.774000,21629.774000,0
2025-08-19,NDXCOMP,21607.452000,21610.241000,21277.711000,21314.952000,21314.952000,0
2025-08-20,NDXCOMP,21269.667000,21269.667000,20905.991000,21172.857000,21172.857000,0
2025-08-21,NDXCOMP,21112.523000,21198.758000,21013.532000,21100.312000,21100.312000,0
2025-08-22,NDXCOMP,21139.826000,21545.425000,21092.355000,21496.535000,21496.535000,0
2025-08-25,NDXCOMP,21466.466000,21572.179000,21400.085000,21449.292000,21449.292000,0
2025-08-26,NDXCOMP,21443.631000,21550.925000,21389.103000,21544.270000,21544.270000,0
2025-08-27,NDXCOMP,21526.334000,21616.174000,21476.299000,21590.140000,21590.140000,0
2025-08-28,NDXCOMP,21619.273000,21742.457000,21534.942000,21705.158000,21705.158000,0
2025-08-29,NDXCOMP,21630.326000,21631.150000,21397.981000,21455.552000,21455.552000,0
2025-09-02,NDXCOMP,21086.575000,21293.688000,21033.046000,21279.630000,21279.630000,0
2025-09-03,NDXCOMP,21461.627000,21553.984000,21370.980000,21497.727000,21497.727000,0
2025-09-04,NDXCOMP,21539.910000,21711.958000,21469.404000,21707.694000,21707.694000,0
2025-09-05,NDXCOMP,21860.441000,21878.813000,21534.725000,21700.388000,21700.388000,0
