as_of_date,open_interest,nc_long,nc_short
2013-04-02,   75524,   27494,    4190
2013-04-09,   70340,   21124,    3850
2013-04-16,   73712,   25009,    3364
2013-04-23,   70732,   21021,    4643
2013-04-30,   78125,   29028,    2928
2013-05-07,   81815,   30329,    3872
2013-05-14,   82695,   30020,    3727
2013-05-21,   83665,   28468,    2720
2013-05-28,   87214,   32016,    2242
2013-06-04,   86007,   29246,    1804
2013-06-11,   77849,   21362,    2049
2013-06-18,  105066,   23633,    3818
2013-06-25,   60029,   16128,    5479
2013-07-02,   61504,   16237,    5409
2013-07-09,   64004,   17921,    4463
2013-07-16,   73333,   22360,    4566
2013-07-23,   79243,   27902,    4323
2013-07-30,   79783,   27853,    3843
2013-08-06,   81170,   28570,    3651
2013-08-13,   83801,   29188,    3936
2013-08-20,   77539,   24996,    4551
2013-08-27,   83843,   23013,    6498
2013-09-03,   80375,   23208,    6139
2013-09-10,   83562,   23439,    4664
2013-09-17,  106495,   27156,    3723
2013-09-24,   78276,   26281,    2540
2013-10-01,   80374,   29387,    2121
2013-10-08,   75626,   24665,    3784
2013-10-15,   73979,   23407,    2537
2013-10-22,   73457,   24966,    2760
2013-10-29,   78938,   28741,    3198
2013-11-05,   84122,   30796,    2937
2013-11-12,   79457,   27868,    3644
2013-11-19,   79507,   25459,    2704
2013-11-26,   82209,   28573,    3413
2013-12-03,   85816,   30124,    4075
2013-12-10,   84692,   26702,    3004
2013-12-17,  103403,   28104,    2809
2013-12-24,   82705,   23032,    3054
2013-12-31,   83927,   22997,    2937
2014-01-07,   86468,   24534,    5769
2014-01-14,   86236,   25241,    7396
2014-01-21,   84719,   23657,    4664
2014-01-28,   85684,   24845,    6061
2014-02-04,   95510,   20753,    4019
2014-02-11,   81194,   19309,    6540
2014-02-18,   87275,   24406,    7059
2014-02-25,   92114,   28924,    6125
2014-03-04,   95015,   28501,    5853
2014-03-11,   93499,   24252,    5895
2014-03-18,  132014,   26370,    5675
2014-03-25,   75742,   20652,    6385
2014-04-01,   73334,   21000,    6187
2014-04-08,   74360,   16414,    8107
2014-04-15,   70106,   13763,    6897
2014-04-22,   65784,   12535,    7489
2014-04-29,   69784,   15112,    7689
2014-05-06,   87799,   15954,    7667
2014-05-13,   93266,   17350,    9703
2014-05-20,   93497,   15324,    9986
2014-05-27,   87667,   19606,   10196
2014-06-03,   90252,   20287,   10037
2014-06-10,   89152,   19180,    7863
2014-06-17,  109268,   21187,    6487
2014-06-24,   68535,   17270,    6642
2014-07-01,   71784,   19089,    9200
2014-07-08,   72194,   17821,    8843
2014-07-15,   71645,   18382,    8003
2014-07-22,   72587,   19990,    7266
2014-07-29,   74687,   20460,    7541
2014-08-05,   72218,   20297,    7597
2014-08-12,   68866,   17670,    7623
2014-08-19,   71774,   17378,    7821
2014-08-26,   72077,   19255,    8684
2014-09-02,   73483,   19958,    9135
2014-09-09,   73158,   19746,    8771
2014-09-16,  111953,   23711,   10062
2014-09-23,   75568,   21305,    8597
2014-09-30,   75621,   22298,    8382
2014-10-07,   75014,   22457,    8720
2014-10-14,   80222,   21694,    8844
2014-10-21,   64588,   15319,    7354
2014-10-28,   65573,   15486,    5882
2014-11-04,   68057,   17260,    7508
2014-11-11,   79091,   20723,    5711
2014-11-18,   84518,   21504,    6179
2014-11-25,   86984,   20591,    7249
2014-12-02,   91222,   22170,    7626
2014-12-09,   91693,   21970,    6925
2014-12-16,  109225,   22199,    9275
2014-12-23,   68041,   15689,    7354
2014-12-30,   66939,   16027,    7738
2015-01-06,   67205,   17639,    7964
2015-01-13,   63382,   16324,    8774
2015-01-20,   61136,   14747,    9041
2015-01-27,   60303,   13378,    9446
2015-02-03,   60337,   12106,    8075
2015-02-10,   62923,   14552,    8523
2015-02-17,   83967,   19382,    7829
2015-02-24,   86451,   20662,    8602
2015-03-03,   87354,   22412,    8935
2015-03-10,   87826,   23160,    7555
2015-03-17,   98973,   18401,    5698
2015-03-24,   66961,   17172,    5002
2015-03-31,   63967,   14946,    4485
2015-04-07,   63958,   15571,    3715
2015-04-14,   66124,   17603,    3986
2015-04-21,   66710,   18774,    4743
2015-04-28,   73186,   24642,    6966
2015-05-05,   68376,   19014,    5639
2015-05-12,   61877,   15752,    6499
2015-05-19,   63769,   17014,    5979
2015-05-26,   63314,   16774,    6928
2015-06-02,   75510,   19200,    5681
2015-06-09,   72917,   16444,    8272
2015-06-16,   87708,   15887,    7151
2015-06-23,   69325,   20195,    5255
2015-06-30,   62195,   14098,    7910
2015-07-07,   59219,   12922,    7139
2015-07-14,   60800,   16438,    5460
2015-07-21,   68975,   23598,    6470
2015-07-28,   72305,   24167,    6134
