# Presidentielle 2012, 1er tour, PARTS (% exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur via data.gouv.fr, jeu 'Election presidentielle 2012 - Resultats'
#   (dataset contenant regions/departements/circonscriptions legislatives/cantons), feuille 'Circo leg T1'.
#   URL dataset: https://www.data.gouv.fr/datasets/election-presidentielle-2012-resultats-572124/
#   URL fichier xls: https://static.data.gouv.fr/ff/e9c9483d39e00030815089aca1e2939f9cb99a84b0136e43056790e47bb4f0.xls
# DONNEES REELLES (pas de fabrication). 577 circonscriptions.
# NOTE : en 2012, Melenchon (LFI ici) etait candidat du Front de Gauche (incluant le PCF) ; nuance
#   utilisee = LFI pour continuite de lignee avec 2017/2022, mais le perimetre du candidat differe
#   (FG 2012 != LFI seul en 2017/2022).
# Agregat national reconstitue (pondere par exprimes) vs officiel (1er tour 2012) :
#   PS 28.63 (off. 28.63) | LR 27.18 (off. 27.18) | RN 17.90 (off. 17.90) |
#   LFI 11.10 (off. 11.10) | MDM 9.13 (off. 9.13) | EELV 2.31 (off. 2.31) |
#   DLF 1.79 (off. 1.79) | NPA 1.15 (off. 1.15) | LO 0.56 (off. 0.56) |
#   SP 0.25 (off. 0.25)
# circo_id normalise au format AA-CC (departement zfill2 si numerique, sinon 2A/2B/ZA.. tel quel ;
#   circonscription zfill2) pour jointure avec fr_pres2017_circo.csv / fr_pres2022_circo.csv.
# Lire avec pandas.read_csv(comment='#').
circo_id,departement,exprimes,PS,LR,RN,LFI,MDM,EELV,DLF,NPA,LO,SP
33-09,33,71594,31.95,22.83,16.53,12.5,9.69,2.18,1.73,1.82,0.53,0.24
33-10,33,64268,28.23,26.02,21.15,10.34,8.43,1.87,1.67,1.54,0.53,0.22
33-11,33,71521,28.95,21.83,23.85,11.25,7.99,1.48,1.83,1.91,0.63,0.28
33-12,33,65534,29.59,23.9,17.64,12.81,9.43,2.35,1.75,1.68,0.58,0.27
34-01,34,62854,27.75,26.39,20.79,12.14,7.49,2.55,1.43,0.9,0.34,0.23
34-02,34,43803,37.3,20.82,11.58,16.84,6.71,4.21,1.1,0.92,0.28,0.24
34-03,34,64278,27.67,27.74,17.58,11.81,9.05,3.16,1.47,0.91,0.35,0.27
34-04,34,85198,25.94,23.74,22.07,14.44,7.35,3.02,1.56,1.18,0.42,0.29
34-05,34,74286,26.77,21.55,23.96,15.31,6.49,2.25,1.46,1.43,0.56,0.22
34-06,34,68927,24.05,27.27,27.75,11.08,5.65,1.47,1.3,0.88,0.39,0.16
34-07,34,77476,23.28,27.66,26.23,12.78,5.34,1.76,1.34,0.99,0.42,0.2
34-08,34,65079,26.19,24.32,23.07,14.02,6.97,2.46,1.46,0.97,0.36,0.19
34-09,34,61043,25.76,27.51,22.68,11.64,6.95,2.48,1.36,0.98,0.4,0.24
35-01,35,71141,38.73,20.19,9.87,12.11,11.56,3.94,1.6,1.14,0.62,0.24
35-02,35,73581,36.0,24.64,8.46,10.6,13.24,3.89,1.47,1.03,0.43,0.24
35-03,35,68710,32.49,24.73,13.42,10.5,11.94,2.96,1.79,1.28,0.64,0.25
35-04,35,71788,29.56,24.22,16.49,10.67,11.56,2.92,2.15,1.39,0.81,0.23
35-05,35,81959,25.25,30.78,13.36,8.52,15.06,2.45,2.25,1.29,0.78,0.26
35-06,35,71074,27.63,28.16,15.45,9.28,12.52,2.33,2.13,1.39,0.86,0.25
35-07,35,76155,28.52,31.06,13.71,9.39,10.9,2.53,1.79,1.26,0.64,0.21
35-08,35,64618,37.61,23.07,7.8,12.19,11.58,4.61,1.38,0.96,0.56,0.22
36-01,36,64567,30.78,24.69,19.0,10.89,8.64,1.55,2.08,1.33,0.76,0.27
36-02,36,74381,29.08,23.69,20.03,11.58,9.27,1.37,2.25,1.51,0.94,0.29
37-01,37,50555,32.16,27.5,10.68,12.62,10.14,3.42,1.45,1.18,0.54,0.3
37-02,37,69673,26.52,28.14,17.94,10.68,10.24,2.15,2.11,1.34,0.63,0.25
37-03,37,77701,28.06,27.63,16.5,11.18,10.24,1.99,2.14,1.3,0.69,0.27
37-04,37,71393,28.56,27.47,16.42,11.13,10.06,1.93,2.02,1.38,0.76,0.26
37-05,37,65933,26.21,30.46,16.89,9.41,10.64,2.02,2.18,1.18,0.73,0.27
38-01,38,65582,31.18,29.88,9.34,11.32,10.75,4.9,1.39,0.69,0.31,0.23
38-02,38,61054,32.18,20.54,17.02,15.78,8.15,3.05,1.57,0.98,0.52,0.22
38-03,38,47092,35.6,19.51,14.28,15.8,7.65,3.98,1.38,0.97,0.57,0.25
38-04,38,71821,28.22,25.04,17.42,13.46,8.5,3.52,2.0,1.07,0.51,0.25
38-05,38,80897,28.95,23.3,17.02,13.36,9.63,3.89,1.95,1.14,0.46,0.3
38-06,38,61717,23.21,27.64,25.08,9.72,8.57,1.81,2.14,0.99,0.57,0.28
38-07,38,71657,23.81,25.34,24.04,11.58,9.01,2.0,2.17,1.19,0.62,0.25
38-08,38,61120,25.64,27.18,21.95,10.62,8.74,2.2,1.91,0.99,0.52,0.23
38-09,38,75680,26.84,25.02,19.18,12.09,10.15,2.84,1.99,1.09,0.52,0.28
38-10,38,69719,25.27,24.91,23.28,11.1,9.05,2.18,2.24,1.09,0.6,0.28
39-01,39,53082,24.59,25.51,19.6,13.08,10.14,2.51,2.3,1.28,0.74,0.25
39-02,39,44700,22.32,27.98,19.93,12.02,10.25,2.62,2.58,1.31,0.67,0.32
39-03,39,56311,26.42,24.44,21.57,12.47,8.62,2.1,2.06,1.36,0.7,0.26
40-01,40,78772,32.08,25.0,15.37,11.53,10.22,1.76,1.82,1.49,0.5,0.23
40-02,40,85606,31.47,26.01,13.26,13.12,10.28,2.27,1.53,1.43,0.43,0.21
40-03,40,79452,34.8,22.57,13.74,12.83,10.81,1.43,1.59,1.51,0.51,0.2
41-01,41,64310,27.69,27.08,18.35,10.19,10.58,2.12,1.93,1.23,0.61,0.23
41-02,41,64998,23.68,29.04,23.09,9.87,8.42,1.46,2.21,1.27,0.67,0.3
41-03,41,67993,23.75,28.91,21.16,9.51,10.26,1.63,2.26,1.44,0.82,0.26
42-01,42,53533,31.28,22.68,19.5,12.35,8.78,1.99,1.68,0.98,0.55,0.2
42-02,42,43697,31.58,23.45,17.36,13.2,8.66,2.42,1.6,0.95,0.55,0.23
42-03,42,65437,27.04,24.61,22.71,10.5,9.41,1.91,2.06,1.01,0.54,0.23
42-04,42,81116,24.95,22.95,23.97,12.19,9.65,2.09,2.18,1.2,0.61,0.22
42-05,42,82872,25.19,26.95,21.33,10.85,9.72,1.72,2.22,1.13,0.65,0.25
42-06,42,85768,23.05,27.95,22.0,9.3,11.3,1.87,2.5,1.11,0.68,0.23
43-01,43,79735,24.92,24.15,22.1,10.84,11.45,2.14,2.11,1.32,0.74,0.23
43-02,43,65364,28.12,24.76,18.32,11.59,10.83,2.04,2.05,1.35,0.73,0.21
44-01,44,58713,33.83,28.4,8.29,10.3,12.2,4.18,1.35,0.89,0.33,0.24
44-02,44,65572,35.1,27.06,7.12,12.41,10.88,4.71,1.23,0.91,0.37,0.21
44-03,44,70765,37.89,20.13,10.85,13.81,10.25,3.68,1.54,1.08,0.52,0.24
44-04,44,68507,37.96,20.65,10.36,13.55,10.5,3.36,1.7,1.17,0.54,0.22
44-05,44,89019,32.27,25.37,11.28,10.73,13.36,3.27,1.91,1.12,0.48,0.21
44-06,44,89116,27.57,26.81,16.04,10.66,11.38,2.83,2.14,1.57,0.76,0.24
44-07,44,84576,26.78,32.48,13.82,10.24,10.22,2.45,1.88,1.35,0.58,0.19
44-08,44,65434,36.29,18.91,13.56,15.35,8.89,2.72,1.77,1.53,0.77,0.2
44-09,44,90630,26.61,28.91,15.46,10.61,11.23,2.46,2.29,1.45,0.72,0.26
44-10,44,91390,28.66,28.82,12.08,10.41,13.16,2.68,2.15,1.2,0.58,0.26
45-01,45,59241,28.54,30.89,14.51,9.4,10.78,2.29,1.99,0.9,0.44,0.27
45-02,45,65386,27.42,28.75,18.47,9.96,9.57,2.06,1.92,1.01,0.62,0.23
45-03,45,58007,23.66,29.65,23.25,9.02,8.79,1.49,2.2,1.09,0.57,0.28
45-04,45,58981,21.49,29.79,25.18,9.82,7.92,1.57,2.44,0.96,0.59,0.24
45-05,45,58304,23.84,28.12,24.03,9.24,8.95,1.6,2.19,1.16,0.64,0.22
