as_of_date,open_interest,nc_long,nc_short
2001-12-04,105023,26142,36171
2001-12-11,115485,25806,47523
2001-12-18,110873,30819,31680
2001-12-21,110971,28075,30978
2001-12-28,113672,28829,29474
2002-01-08,113020,29232,23876
2002-01-15,128197,47510,18069
2002-01-22,132005,44800,18871
2002-01-29,124540,29044,16610
2002-02-05,138370,53810,19722
2002-02-12,148022,61706,25373
2002-02-19,148242,61748,27384
2002-02-26,144384,58404,29325
2002-03-05,144154,55673,25211
2002-03-12,140978,50525,20039
2002-03-19,140007,48393,20406
2002-03-26,148479,53695,19301
2002-04-02,153322,62448,24787
2002-04-09,152187,63780,27273
2002-04-16,154615,58851,26769
2002-04-23,162580,65168,25503
2002-04-30,180829,73449,27382
2002-05-07,192242,76757,32322
2002-05-14,191721,70071,32232
2002-05-21,189679,75332,28418
2002-05-28,190444,75210,33887
2002-06-04,181999,73044,31101
2002-06-11,171476,68206,21750
2002-06-18,169101,63445,22204
2002-06-25,176291,62956,24989
2002-07-02,167318,53434,23361
2002-07-09,169837,45598,22970
2002-07-16,173241,47062,23151
2002-07-23,171233,48196,21958
2002-07-30,147221,27460,27075
2002-08-06,140484,24859,23882
2002-08-13,144723,25632,26108
2002-08-20,149693,28280,23572
2002-08-27,150531,27532,25150
2002-09-03,149202,29706,23591
2002-09-10,161170,45693,25872
2002-09-17,164036,46110,20924
2002-09-24,187501,68074,25893
2002-10-01,178261,67739,25037
2002-10-08,173762,61992,24320
2002-10-15,158344,40830,24916
2002-10-22,155085,34838,25376
2002-10-29,152205,33696,18365
2002-11-05,152269,38982,18997
2002-11-12,174682,57600,20693
2002-11-19,169985,56665,18809
2002-11-26,166371,52488,14934
2002-12-03,158433,48545,15584
2002-12-10,180754,73216,21857
2002-12-17,205550,86949,31749
2002-12-23,201761,86100,28995
2002-12-31,206914,88002,28497
2003-01-07,215299,93664,30101
2003-01-14,214684,93046,32384
2003-01-21,218286,95013,33331
2003-01-28,229819,91912,35045
2003-02-04,241161,105154,38340
2003-02-11,216608,89620,39511
2003-02-14,202671,69759,33952
2003-02-25,196138,60864,33899
2003-03-04,189928,60149,29173
2003-03-11,193841,62022,28473
2003-03-18,189983,51897,30476
2003-03-25,182966,45220,15690
2003-04-01,171558,40659,16292
2003-04-08,173293,45496,19799
2003-04-15,180817,47667,26362
2003-04-22,177869,50301,25224
2003-04-29,176123,49345,24578
2003-05-06,178933,53877,14586
2003-05-13,183957,58093,15673
2003-05-20,196238,79694,13953
2003-05-27,206318,78295,9546
2003-06-03,205219,94155,9108
2003-06-10,201381,79118,13519
2003-06-17,199642,81499,17324
2003-06-24,192790,65690,16806
2003-07-01,187164,59522,14308
2003-07-08,187327,56977,15649
2003-07-15,186983,51045,23530
2003-07-22,192848,60068,20659
2003-07-29,238119,93311,17864
2003-08-05,200599,75623,17812
2003-08-12,209187,84578,18065
2003-08-19,229142,104223,14225
2003-08-26,243009,117340,17113
2003-09-02,274981,146230,23383
2003-09-09,283325,151530,36438
2003-09-16,283175,144818,39002
2003-09-23,291738,146587,38919
2003-09-30,277922,136571,41383
2003-10-07,255935,110811,30046
2003-10-14,246133,108615,31723
2003-10-21,252897,115942,35078
2003-10-28,261514,126193,35580
2003-11-04,262696,119702,35092
2003-11-11,270895,124456,41878
2003-11-18,285620,136229,43069
2003-11-25,285510,134093,26065
2003-12-02,278759,142642,29787
2003-12-09,276302,140647,33619
2003-12-16,278928,148033,31925
2003-12-22,273517,143783,35511
2003-12-30,278641,146647,34047
2004-01-06,284500,151691,35706
2004-01-13,300273,147745,40513
2004-01-20,277381,125320,40285
2004-01-27,275490,118100,32044
2004-02-03,236512,95128,27564
2004-02-10,237396,95652,35366
2004-02-17,241858,106632,36327
2004-02-24,241721,95788,32730
2004-03-02,237352,83802,39923
2004-03-09,230009,95130,34591
2004-03-16,245495,98116,35637
2004-03-23,281839,144353,41842
2004-03-30,295044,159753,34615
2004-04-06,305661,176285,32032
2004-04-12,305423,174575,35879
2004-04-20,255395,109438,36162
2004-04-27,246504,98229,40425
2004-05-04,246863,91845,37182
2004-05-11,254742,86776,48760
2004-05-18,253647,82288,54775
2004-05-25,252665,76713,54504
2004-06-01,228721,78293,46310
2004-06-08,225921,78878,48547
2004-06-15,223243,80534,51418
2004-06-22,219524,83340,43442
2004-06-29,226773,86673,46506
2004-07-06,226957,82019,50616
2004-07-13,247735,112049,41615
2004-07-20,256572,114160,43702
2004-07-27,232007,78464,45149
2004-08-03,217814,81545,47091
2004-08-10,219062,85056,38949
2004-08-17,227948,91881,38091
2004-08-24,259849,126481,41720
2004-08-31,269575,130720,50223
2004-09-07,256711,111967,49824
2004-09-14,249885,101047,46191
2004-09-21,256086,108228,43901
2004-09-28,266565,124815,42697
2004-10-05,296592,162941,48849
2004-10-12,302197,165529,50392
2004-10-19,305225,172649,51735
2004-10-26,321849,185342,57447
2004-11-02,313532,176069,64632
2004-11-09,342146,187528,69675
2004-11-16,362336,196371,73370
2004-11-23,352638,202921,64289
2004-11-30,345646,201218,72765
2004-12-07,353244,211208,78861
2004-12-14,316029,160002,72208
2004-12-21,319955,162396,72143
2004-12-28,330965,169514,70761
2005-01-04,302298,140471,67228
2005-01-11,275461,109497,72710
2005-01-18,275630,107825,78259
2005-01-25,273430,107378,79033
2005-02-01,253116,102388,74270
2005-02-08,255424,97630,86455
2005-02-15,262589,109421,87714
2005-02-22,267860,119318,80413
2005-03-01,287761,135741,79060
2005-03-08,296335,143930,73453
2005-03-15,335503,178724,67602
2005-03-22,299531,148089,56328
2005-03-29,281601,139491,37970
2005-04-05,272946,143487,37223
2005-04-12,279545,150611,37267
2005-04-19,280432,152815,38423
2005-04-26,302084,173826,36049
2005-05-03,290539,153914,46186
2005-05-10,282478,134719,54341
2005-05-17,274382,124569,68625
2005-05-24,272748,114965,75456
2005-05-31,255995,113002,80037
2005-06-07,252151,111796,72689
2005-06-14,257034,119458,62597
2005-06-21,289771,162238,53728
2005-06-28,303385,175520,45589
2005-07-05,281186,146733,41859
2005-07-12,269891,124585,50863
2005-07-19,270001,116572,62461
2005-07-26,256886,110685,61663
2005-08-02,244488,118941,53372
