# Presidentielle 2022, 1er tour, PARTS DE VOTE (% des exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur via data.gouv.fr, jeu 'Election presidentielle 10/24 avril 2022 -
#   resultats definitifs 1er tour', ressource 'resultats-par-niveau-cirlg-t1-france-entiere.txt'.
#   URL: https://www.data.gouv.fr/datasets/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour
# DONNEES REELLES (pas de fabrication). Agregat national reconstitue = resultats officiels au centieme.
# Partis EXPLICITES (pas de bloc) : LFI=Melenchon, PS=Hidalgo, EELV=Jadot, PCF=Roussel, RN=Le Pen,
#   ENS=Macron, LR=Pecresse, REC=Zemmour, RES=Lassalle, DLF=Dupont-Aignan, NPA=Poutou, LO=Arthaud.
# Lire avec pandas.read_csv(comment='#').
circo_id,departement,exprimes,ENS,RN,LFI,REC,LR,EELV,RES,PCF,DLF,PS,NPA,LO
24-03,24,53049,23.32,26.81,20.0,5.65,5.0,2.81,6.72,3.59,2.18,2.24,1.02,0.66
24-04,24,70017,23.36,23.35,21.76,6.02,4.9,3.8,7.2,3.51,2.28,2.41,0.94,0.47
25-01,25,57302,28.35,20.37,24.45,6.42,4.62,5.74,2.45,1.93,2.18,1.9,0.88,0.7
25-02,25,60576,29.08,18.9,23.49,6.88,5.18,5.96,2.53,2.13,2.18,2.11,0.86,0.71
25-03,25,47634,25.09,28.95,17.61,7.48,5.61,3.33,3.67,1.77,3.08,1.67,0.85,0.88
25-04,25,47241,22.51,31.38,21.11,7.95,3.71,2.87,2.67,1.93,2.73,1.5,0.76,0.88
25-05,25,64344,30.91,23.26,13.96,6.71,7.61,5.06,4.26,1.33,3.81,1.61,0.86,0.62
26-01,26,57156,27.48,20.7,24.01,7.41,4.88,5.53,2.61,2.08,2.25,1.89,0.6,0.57
26-02,26,71496,24.11,28.55,19.48,8.23,4.23,3.96,3.33,2.45,2.77,1.61,0.74,0.54
26-03,26,87632,23.45,20.8,26.18,6.88,4.61,5.48,4.21,2.5,2.66,1.85,0.82,0.56
26-04,26,75140,24.93,26.75,19.51,7.81,4.46,4.59,3.17,2.16,2.87,1.94,0.69,1.12
